GAME START
PLAYER_ONE,HEALER,HEALER,BOWMAN,BOWMAN,ARCHMAGE,SWORDSMAN
PLAYER_TWO,BOWMAN,ARCHMAGE,HEALER,BOWMAN,MAGE,HEALER
PLAYER_ONE,0,1,PLAYER_ONE,0,0,HEALING,HEALER,60,HEALER,60,0
PLAYER_TWO,0,0,PLAYER_ONE,0,0,RANGE_COMBAT,BOWMAN,70,HEALER,60,0
PLAYER_ONE,0,2,PLAYER_TWO,0,0,RANGE_COMBAT,BOWMAN,70,BOWMAN,70,0
PLAYER_TWO,1,0,PLAYER_ONE,1,0,RANGE_COMBAT,BOWMAN,70,BOWMAN,42,28
PLAYER_TWO,0,1,PLAYER_ONE,0,0,AREA_DAMAGE,MAGE,70,HEALER,38,22
PLAYER_ONE,1,1,PLAYER_TWO,1,1,AREA_DAMAGE,MAGE,47,MAGE,47,23
PLAYER_TWO,1,1,PLAYER_ONE,0,0,AREA_DAMAGE,MAGE,47,HEALER,16,22
PLAYER_ONE,0,0,PLAYER_ONE,1,1,HEALING,HEALER,16,MAGE,64,40
PLAYER_TWO,1,2,PLAYER_TWO,1,2,HEALING,HEALER,60,HEALER,60,22
PLAYER_ONE,1,0,PLAYER_TWO,1,2,RANGE_COMBAT,BOWMAN,2,HEALER,30,30
PLAYER_TWO,0,2,PLAYER_TWO,0,0,HEALING,HEALER,38,BOWMAN,70,20
PLAYER_TWO,0,0,PLAYER_ONE,1,2,RANGE_COMBAT,BOWMAN,70,SWORDSMAN,49,25
PLAYER_ONE,1,1,PLAYER_TWO,0,0,AREA_DAMAGE,MAGE,64,BOWMAN,50,20
PLAYER_TWO,1,2,PLAYER_TWO,0,0,HEALING,HEALER,8,BOWMAN,70,20
PLAYER_ONE,0,2,PLAYER_TWO,0,2,RANGE_COMBAT,BOWMAN,30,HEALER,16,0
PLAYER_TWO,0,2,PLAYER_TWO,0,1,HEALING,HEALER,16,MAGE,64,40
PLAYER_ONE,0,1,PLAYER_ONE,1,1,HEALING,HEALER,16,MAGE,70,6
PLAYER_TWO,0,1,PLAYER_ONE,1,1,AREA_DAMAGE,MAGE,64,MAGE,47,23
PLAYER_TWO,1,0,PLAYER_ONE,1,1,RANGE_COMBAT,BOWMAN,30,MAGE,15,32
PLAYER_TWO,1,1,PLAYER_ONE,0,2,AREA_DAMAGE,MAGE,24,SWORDSMAN,18,8
PLAYER_TWO,0,1,PLAYER_ONE,0,2,AREA_DAMAGE,MAGE,64,SWORDSMAN,0,18

3,PLAYER_TWO
GAME OVER
GAME START
PLAYER_ONE,MAGE,MAGE,BOWMAN,SNIPER,MAGE,MAGE
