GAME START
PLAYER_ONE,MAGE,BOWMAN,SNIPER,SWORDSMAN,MAGE,BOWMAN,
PLAYER_TWO,SWORDSMAN,MAGE,ARCHMAGE,BOWMAN,MAGE,BOWMAN,
PLAYER_ONE,1,1,PLAYER_TWO,0,2,AREA_DAMAGE,MAGE,70,SWORDSMAN,89,11,MAGE,70,MAGE,56,14,MAGE,70,MAGE,56,14,MAGE,70,BOWMAN,58,12,MAGE,70,MAGE,56,14,MAGE,70,BOWMAN,58,12,
PLAYER_TWO,1,1,PLAYER_ONE,1,0,AREA_DAMAGE,MAGE,56,MAGE,47,23,MAGE,56,BOWMAN,50,20,MAGE,56,BOWMAN,50,20,MAGE,56,SWORDSMAN,82,18,MAGE,56,MAGE,47,23,MAGE,56,BOWMAN,50,20,
PLAYER_ONE,0,2,PLAYER_TWO,1,0,RANGE_COMBAT,BOWMAN,50,BOWMAN,38,20,
PLAYER_TWO,0,2,PLAYER_ONE,1,2,AREA_DAMAGE,MAGE,56,MAGE,24,23,MAGE,56,BOWMAN,30,20,MAGE,56,BOWMAN,30,20,MAGE,56,SWORDSMAN,64,18,MAGE,56,MAGE,24,23,MAGE,56,BOWMAN,30,20,
PLAYER_ONE,0,1,PLAYER_TWO,0,1,RANGE_COMBAT,BOWMAN,30,MAGE,33,23,
PLAYER_TWO,0,1,PLAYER_ONE,0,1,AREA_DAMAGE,MAGE,33,MAGE,1,23,MAGE,33,BOWMAN,10,20,MAGE,33,BOWMAN,10,20,MAGE,33,SWORDSMAN,46,18,MAGE,33,MAGE,1,23,MAGE,33,BOWMAN,10,20,
PLAYER_ONE,0,0,PLAYER_TWO,0,2,AREA_DAMAGE,MAGE,1,SWORDSMAN,78,11,MAGE,1,MAGE,19,14,MAGE,1,MAGE,42,14,MAGE,1,BOWMAN,26,12,MAGE,1,MAGE,42,14,MAGE,1,BOWMAN,46,12,
PLAYER_TWO,0,0,PLAYER_ONE,0,0,CLOSE_COMBAT,SWORDSMAN,78,MAGE,-35,36,
PLAYER_ONE,1,2,PLAYER_TWO,1,0,RANGE_COMBAT,BOWMAN,10,BOWMAN,6,20,
PLAYER_TWO,1,2,PLAYER_ONE,1,0,RANGE_COMBAT,BOWMAN,46,SWORDSMAN,21,25,
PLAYER_ONE,1,0,PLAYER_TWO,1,0,CLOSE_COMBAT,SWORDSMAN,21,BOWMAN,-18,24,
PLAYER_TWO,0,2,PLAYER_ONE,1,1,AREA_DAMAGE,MAGE,42,MAGE,-58,23,MAGE,42,BOWMAN,-10,20,MAGE,42,BOWMAN,-10,20,MAGE,42,SWORDSMAN,3,18,MAGE,42,MAGE,-22,23,MAGE,42,BOWMAN,-10,20,
PLAYER_ONE,1,0,PLAYER_TWO,0,1,CLOSE_COMBAT,SWORDSMAN,3,MAGE,-8,27,
PLAYER_TWO,1,2,PLAYER_ONE,1,0,RANGE_COMBAT,BOWMAN,46,SWORDSMAN,-22,25,

2,PLAYER_TWO
GAME OVER
GAME START
PLAYER_ONE,MAGE,SWORDSMAN,BOWMAN,ARCHMAGE,MAGE,BOWMAN,
PLAYER_TWO,MAGE,SWORDSMAN,SNIPER,HEALER,HEALER,BOWMAN,
PLAYER_ONE,1,0,PLAYER_TWO,0,1,AREA_DAMAGE,MAGE,70,MAGE,47,23,MAGE,70,SWORDSMAN,82,18,MAGE,70,BOWMAN,50,20,MAGE,70,HEALER,38,22,MAGE,70,HEALER,38,22,MAGE,70,BOWMAN,50,20,
PLAYER_TWO,0,0,PLAYER_ONE,1,2,AREA_DAMAGE,MAGE,47,MAGE,56,14,MAGE,47,SWORDSMAN,89,11,MAGE,47,BOWMAN,58,12,MAGE,47,MAGE,56,14,MAGE,47,MAGE,56,14,MAGE,47,BOWMAN,58,12,
PLAYER_ONE,1,1,PLAYER_TWO,1,0,AREA_DAMAGE,MAGE,56,MAGE,47,0,
PLAYER_TWO,1,1,PLAYER_TWO,1,2,HEALING,HEALER,38,BOWMAN,70,20,PLAYER_ONE,0,0,PLAYER_TWO,0,1,AREA_DAMAGE,MAGE,56,MAGE,47,0,
PLAYER_TWO,1,2,PLAYER_ONE,1,0,RANGE_COMBAT,BOWMAN,70,MAGE,33,23,
PLAYER_ONE,0,2,PLAYER_TWO,1,1,RANGE_COMBAT,BOWMAN,58,HEALER,8,30,
PLAYER_TWO,1,0,PLAYER_TWO,0,0,HEALING,HEALER,38,MAGE,70,23,PLAYER_ONE,1,2,PLAYER_TWO,1,0,RANGE_COMBAT,BOWMAN,58,HEALER,8,30,
PLAYER_TWO,0,1,PLAYER_ONE,0,1,CLOSE_COMBAT,SWORDSMAN,82,SWORDSMAN,68,21,
PLAYER_ONE,0,1,PLAYER_TWO,0,1,CLOSE_COMBAT,SWORDSMAN,68,SWORDSMAN,54,28,
